Order_ID,Order_Date,Product,Quantity,Unit_Price,City
100000,2025-04-13,iPhone 13 Case,4,1200,Nakuru
100001,2025-09-28,Tecno Spark 20 Case,3,1200,Eldoret
100002,2025-01-21,Samsung A35 Case,2,500,Eldoret
100003,2025-08-03,Redmi Note 14 Case,3,500,Nairobi
100004,2025-03-29,Infinix Hot 40 Case,5,800,Mombasa
100005,2025-12-26,Redmi Note 14 Case,3,2500,Kisumu
100006,2025-11-05,Screen Protector,2,800,Nairobi
100007,2025-10-21,iPhone 13 Case,2,800,Nairobi
100008,2025-10-04,Redmi Note 14 Case,1,800,Mombasa
100009,2025-11-10,iPhone 13 Case,5,800,Mombasa
100010,2025-12-11,Power Bank,1,500,Kisumu
100011,2025-02-28,Screen Protector,2,800,Mombasa
100012,2025-07-07,iPhone 13 Case,3,800,Kisumu
100013,2025-02-24,Redmi Note 14 Case,4,200,Nakuru
100014,2025-05-11,Power Bank,5,500,Nakuru
100015,2025-05-15,Earbuds,5,200,Mombasa
100016,2025-06-16,Screen Protector,2,800,Nairobi
100017,2025-03-30,Power Bank,4,2500,Eldoret
100018,2025-08-30,Earbuds,2,200,Nairobi
100019,2025-12-12,infinix hot 40 case,5,300,Kisumu
100020,2025-12-06,Tecno Spark 20 Case,4,800,Nairobi
100021,2025-09-21,iPhone 13 Case,3,2500,Mombasa
100022,2025-03-22,Infinix Hot 40 Case,4,300,Nairobi
100023,2025-12-26,Tecno Spark 20 Case,4,300,Mombasa
100024,2025-02-23,iPhone 13 Case,2,800,Kisumu
100025,2025-11-06,Samsung A35 Case,5,300,Mombasa
100026,2025-08-06,Samsung A16 Case,4,300,Kisumu
100027,2025-07-21,Infinix Hot 40 Case,4,2500,Kisumu
100028,2025-12-17,iPhone 13 Case,two,200,Mombasa
100029,2025-07-09,Infinix Hot 40 Case,5,1200,Nakuru
100030,2025-12-04,Earbuds,5,300,Eldoret
100031,2025-08-05,iPhone 13 Case,4,800,Kisumu
100032,2025-02-10,Power Bank,5,1200,Nakuru
100033,2025-03-06,power bank,1,200,Eldoret
100034,2025-12-10,Redmi Note 14 Case,1,800,Kisumu
100035,2025-05-16,Power Bank,3,500,Kisumu
100036,2025-03-22,Samsung A16 Case,3,500,Kisumu
100037,2025-10-16,Samsung A35 Case,3,1200,Mombasa
100038,2025-08-19,Redmi Note 14 Case,two,200,Mombasa
100039,2025-01-28,Power Bank,1,800,Eldoret
100040,2025-02-02,Redmi Note 14 Case,5,500,Kisumu
100041,2025-06-21,Power Bank,3,500,Mombasa
100042,2025-08-15,Redmi Note 14 Case,5,2500,Kisumu
100043,2025-05-11,iPhone 13 Case,1,1200,Nakuru
100044,2025-08-06,Samsung A16 Case,3,-200,Eldoret
100045,2025-07-26,Screen Protector,2,300,Kisumu
100046,2025-06-28,,1,800,Mombasa
100047,2025-04-06,Samsung A35 Case,4,2500,Nairobi
100048,2025-08-19,Tecno Spark 20 Case,5,500,Nairobi
100049,2025-01-29,Screen Protector,4,1200,Nakuru
100050,2025-06-09,Tecno Spark 20 Case,3,500,Mombasa
100051,2025-03-27,Samsung A16 Case,4,300,Mombasa
100052,2025-06-19,Charger,5,2500,Nairobi
100053,2025-05-14,Samsung A35 Case,4,800,Mombasa
100054,2025-04-18,Charger,4,800,Nairobi
100055,2025-10-13,Power Bank,3,300,Nairobi
100056,2025-12-14,Redmi Note 14 Case,1,2500,Mombasa
100057,2025-08-13,Samsung A35 Case,1,200,Eldoret
100058,2025-10-10,Power Bank,1,800,Nairobi
100059,2025-08-21,Tecno Spark 20 Case,3,2500,Nairobi
100060,2025-05-17,,5,200,Kisumu
100061,2025-11-03,Infinix Hot 40 Case,2,800,Kisumu
100062,2025-06-01,Screen Protector,3,2500,Nairobi
100063,2025-06-09,Screen Protector,1,800,Nairobi
100064,2025-04-23,Samsung A16 Case,1,300,Nairobi
100065,2025-02-21,Power Bank,4,2500,Kisumu
100066,2025-10-22,iPhone 13 Case,2,500,Eldoret
100067,2025-04-23,Earbuds,5,200,Mombasa
100068,2025-03-22,Charger,3,200,Mombasa
100069,2025-01-02,iPhone 13 Case,2,800,Nairobi
100070,2025-02-23,Samsung A16 Case,5,200,Nakuru
100071,2025-05-06,Tecno Spark 20 Case,2,1200,Mombasa
100072,2025-06-21,Charger,2,2500,Eldoret
100073,2025-09-04,iPhone 13 Case,4,500,Eldoret
100074,2025-07-03,Infinix Hot 40 Case,3,200,Eldoret
100075,2025-09-12,Earbuds,5,800,Nairobi
100076,2025-04-08,iPhone 13 Case,3,200,Nakuru
100077,2025-07-20,Infinix Hot 40 Case,4,500,Kisumu
100078,2025-11-22,Power Bank,5,500,Nairobi
100079,2025-05-28,Charger,4,500,Eldoret
100080,2025-12-12,iPhone 13 Case,3,500,Nakuru
100081,2025-05-28,Infinix Hot 40 Case,4,200,Nakuru
100082,2025-05-08,Earbuds,2,200,Nakuru
100083,2025-09-24,,4,200,Nairobi
100084,2025-05-31,Redmi Note 14 Case,2,500,Mombasa
100085,2025-09-20,Screen Protector,4,300,Kisumu
100086,2025-04-22,Charger,1,800,Kisumu
100087,2025-03-01,Earbuds,1,300,Nairobi
100088,2025-10-31,Samsung A16 Case,4,1200,Kisumu
100089,2025-02-06,iPhone 13 Case,3,200,Eldoret
100090,2025-08-21,Infinix Hot 40 Case,3,500,Mombasa
100091,2025-10-31,Samsung A35 Case,3,800,Kisumu
100092,2025-06-01,Infinix Hot 40 Case,1,800,Nairobi
100093,2025-03-16,Charger,1,800,Kisumu
100094,2025-04-14,Screen Protector,4,2500,Mombasa
100095,2025-08-15,Screen Protector,1,500,Nakuru
100096,2025-06-02,Screen Protector,5,300,Eldoret
100097,2025-12-04,Redmi Note 14 Case,2,2500,Nakuru
100098,2025-06-12,Infinix Hot 40 Case,5,200,Nakuru
100099,2025-06-10,Samsung A35 Case,4,200,Nakuru
100100,2025-10-04,Samsung A16 Case,4,500,Eldoret
100101,2025-05-08,Samsung A35 Case,1,800,Nairobi
100102,2025-01-22,Redmi Note 14 Case,5,500,Mombasa
100103,2025-09-21,Redmi Note 14 Case,3,500,Nairobi
100104,2025-08-14,Redmi Note 14 Case,5,2500,Kisumu
100105,2025-04-07,Samsung A16 Case,4,-200,Nairobi
100106,2025-11-13,Charger,3,800,Nakuru
100107,2025-02-04,Tecno Spark 20 Case,1,200,Nairobi
100108,2025-06-21,Samsung A35 Case,4,2500,Eldoret
100109,,Redmi Note 14 Case,5,2500,Nairobi
100110,2025-04-09,iPhone 13 Case,4,200,Nakuru
100111,2025-02-06,Infinix Hot 40 Case,5,200,Nairobi
100112,2025-10-29,Tecno Spark 20 Case,5,500,Mombasa
100113,2025-07-07,Power Bank,1,800,Kisumu
100114,2025-07-10,Samsung A35 Case,5,1200,Nairobi
100115,2025-06-10,Samsung A35 Case,3,300,Kisumu
100116,2025-10-08,Infinix Hot 40 Case,2,2500,Eldoret
100117,2025-02-27,Redmi Note 14 Case,3,2500,Nakuru
100118,2025-10-07,Earbuds,2,2500,Nakuru
100119,2025-05-31,Tecno Spark 20 Case,2,500,Kisumu
100120,2025-09-30,Samsung A16 Case,1,200,Eldoret
100121,2025-10-26,Samsung A16 Case,5,300,Mombasa
100122,2025-09-04,Charger,2,500,Mombasa
100123,2025-11-02,Samsung A16 Case,1,1200,Nakuru
100124,2025-11-12,Samsung A16 Case,2,200,Nakuru
100125,2025-02-05,Earbuds,5,800,Nakuru
100126,2025-11-17,Infinix Hot 40 Case,4,500,Mombasa
100127,2025-05-23,Screen Protector,4,-300,Nakuru
100128,2025-11-18,Tecno Spark 20 Case,3,200,Nairobi
100129,2025-07-05,Samsung A35 Case,5,2500,Kisumu
100130,2025-11-10,Tecno Spark 20 Case,2,2500,Nakuru
100131,,Samsung A16 Case,4,300,Mombasa
100132,2025-11-22,Samsung A35 Case,3,800,Kisumu
100133,2025-04-11,Infinix Hot 40 Case,1,1200,Nakuru
100134,2025-03-01,Samsung A16 Case,4,800,Nakuru
100135,2025-01-05,Redmi Note 14 Case,4,2500,Kisumu
100136,2025-12-31,Infinix Hot 40 Case,4,2500,Kisumu
100137,2025-02-16,Power Bank,3,800,Nairobi
100138,2025-05-24,Samsung A16 Case,5,300,Nairobi
100139,2025-05-04,Tecno Spark 20 Case,2,2500,Mombasa
100140,2025-05-27,Screen Protector,1,500,Nakuru
100141,2025-04-02,iPhone 13 Case,2,300,Nakuru
100142,2025-08-17,Samsung A16 Case,2,1200,Nakuru
100143,2025-11-14,Charger,1,800,Nakuru
100144,2025-05-09,Infinix Hot 40 Case,2,300,Mombasa
100145,2025-01-01,Earbuds,2,2500,Nairobi
100146,2025-04-28,Charger,1,1200,Kisumu
100147,2025-09-29,iPhone 13 Case,5,1200,Nakuru
100148,2025-10-05,iPhone 13 Case,5,500,Eldoret
100149,2025-03-17,Earbuds,2,500,Eldoret
100150,2025-03-27,Charger,1,1200,Eldoret
100151,2025-08-08,Infinix Hot 40 Case,5,200,Eldoret
100152,2025-04-04,Tecno Spark 20 Case,4,1200,Nakuru
100153,2025-07-23,iPhone 13 Case,2,300,Nakuru
100154,2025-12-07,Samsung A16 Case,4,200,Kisumu
100155,2025-09-11,Screen Protector,5,300,Nakuru
100156,2025-01-10,Samsung A35 Case,5,800,Mombasa
100157,2025-10-17,,4,300,Nairobi
100158,2025-09-07,Charger,3,300,Eldoret
100159,2025-04-06,iPhone 13 Case,1,1200,Mombasa
100160,2025-01-04,iPhone 13 Case,2,200,Mombasa
100161,2025-06-09,Earbuds,3,800,Kisumu
100162,2025-06-01,Earbuds,4,300,Eldoret
100163,2025-06-12,Tecno Spark 20 Case,4,200,Nakuru
100164,2025-06-28,iPhone 13 Case,3,1200,Nairobi
100165,2025-09-25,Infinix Hot 40 Case,3,200,Kisumu
100166,2025-06-17,Redmi Note 14 Case,2,500,Nakuru
100167,2025-02-13,Earbuds,5,1200,Eldoret
100168,2025-01-12,Samsung A16 Case,2,1200,Mombasa
100169,2025-08-30,Earbuds,3,200,Nakuru
100170,2025-03-31,Earbuds,5,300,Nairobi
100171,2025-03-31,iPhone 13 Case,2,500,Eldoret
100172,2025-04-15,iPhone 13 Case,4,300,Mombasa
100173,2025-04-24,Power Bank,5,500,Nairobi
100174,2025-08-05,Samsung A35 Case,5,1200,Nairobi
100175,2025-09-06,Redmi Note 14 Case,4,300,Mombasa
100176,2025-12-23,Tecno Spark 20 Case,1,500,Eldoret
100177,2025-06-26,Screen Protector,3,800,Nairobi
100178,2025-04-06,,5,800,Nakuru
100179,2025-07-02,Samsung A16 Case,5,200,Nairobi
100180,2025-12-21,Samsung A35 Case,1,2500,Eldoret
100181,2025-09-30,Tecno Spark 20 Case,two,2500,Kisumu
100182,2025-03-25,Power Bank,1,2500,Nairobi
100183,2025-07-06,Tecno Spark 20 Case,3,200,Kisumu
100184,2025-04-10,Samsung A16 Case,4,1200,Nairobi
100185,2025-08-21,Tecno Spark 20 Case,3,800,Eldoret
100186,2025-09-22,Earbuds,4,2500,Kisumu
100187,2025-08-11,Screen Protector,4,500,Mombasa
100188,2025-05-24,Charger,5,1200,Kisumu
100189,2025-04-09,iPhone 13 Case,4,200,Eldoret
100190,2025-02-22,Redmi Note 14 Case,1,1200,Nairobi
100191,,Samsung A16 Case,2,300,Eldoret
100192,2025-08-11,Earbuds,2,1200,Mombasa
100193,2025-06-12,Redmi Note 14 Case,5,500,Mombasa
100194,2025-11-27,Samsung A35 Case,2,800,Kisumu
100195,2025-01-09,Samsung A16 Case,2,300,Nairobi
100196,2025-09-10,Samsung A35 Case,two,300,Kisumu
100197,2025-10-10,Charger,2,300,Nairobi
100198,2025-01-05,Infinix Hot 40 Case,5,1200,Eldoret
100199,2025-12-05,,5,200,Nakuru
100200,2025-12-08,Infinix Hot 40 Case,4,200,Nairobi
100201,2025-11-23,Samsung A16 Case,1,1200,Nairobi
100202,2025-05-12,Tecno Spark 20 Case,4,2500,Kisumu
100203,2025-09-09,Tecno Spark 20 Case,3,1200,Nakuru
100204,2025-12-30,iPhone 13 Case,3,300,Eldoret
100205,2025-12-12,Samsung A35 Case,3,2500,Mombasa
100206,2025-06-22,Tecno Spark 20 Case,5,300,Kisumu
100207,2025-08-08,Power Bank,2,800,Eldoret
100208,2025-11-13,Infinix Hot 40 Case,1,200,Eldoret
100209,2025-12-14,Earbuds,1,800,Nakuru
100210,2025-11-08,Tecno Spark 20 Case,1,2500,Kisumu
100211,2025-04-27,Earbuds,2,800,Kisumu
100212,2025-06-22,Screen Protector,5,1200,Kisumu
100213,2025-10-30,Infinix Hot 40 Case,5,2500,Mombasa
100214,2025-08-01,Infinix Hot 40 Case,3,800,Mombasa
100215,2025-08-17,Earbuds,4,500,Kisumu
100216,2025-05-27,Screen Protector,4,200,Eldoret
100217,2025-02-16,Redmi Note 14 Case,1,200,Kisumu
100218,2025-01-14,Redmi Note 14 Case,1,1200,Kisumu
100219,2025-02-23,iPhone 13 Case,3,200,Mombasa
100220,2025-01-12,Infinix Hot 40 Case,2,2500,Nakuru
100221,2025-06-05,Earbuds,5,300,Kisumu
100222,2025-12-14,Redmi Note 14 Case,4,300,Mombasa
100223,2025-05-16,Infinix Hot 40 Case,2,800,Nairobi
100224,2025-06-27,Samsung A16 Case,4,800,Nakuru
100225,2025-12-23,Power Bank,1,800,Nairobi
100226,2025-07-11,Power Bank,3,2500,Nairobi
100227,2025-05-25,Earbuds,1,200,Nakuru
100228,2025-07-31,Infinix Hot 40 Case,5,800,Nakuru
100229,2025-08-28,Samsung A16 Case,5,1200,Nakuru
100230,2025-02-15,iPhone 13 Case,3,1200,Mombasa
100231,2025-03-23,iPhone 13 Case,3,1200,Nakuru
100232,2025-10-30,Samsung A16 Case,1,300,Mombasa
100233,2025-01-10,iPhone 13 Case,2,500,Kisumu
100234,2025-12-31,Tecno Spark 20 Case,5,200,Eldoret
100235,2025-03-06,Redmi Note 14 Case,2,200,Kisumu
100236,2025-09-24,Samsung A35 Case,5,300,Nakuru
100237,2025-03-04,Screen Protector,1,2500,Nakuru
100238,2025-11-11,Charger,3,-200,Nakuru
100239,2025-04-08,Tecno Spark 20 Case,1,500,Kisumu
100240,2025-11-07,Earbuds,4,200,Mombasa
100241,2025-07-16,Redmi Note 14 Case,5,2500,Nakuru
100242,2025-09-16,Redmi Note 14 Case,5,1200,Nairobi
100243,2025-02-22,Samsung A35 Case,5,300,Kisumu
100244,2025-03-24,Infinix Hot 40 Case,1,1200,Mombasa
100245,2025-03-19,Redmi Note 14 Case,1,2500,Nairobi
100246,2025-01-01,Screen Protector,3,1200,Mombasa
100247,2025-07-24,Charger,4,2500,Nairobi
100248,2025-10-15,Redmi Note 14 Case,2,800,Nairobi
100249,2025-04-05,infinix hot 40 case,2,300,Mombasa
100250,2025-06-11,Infinix Hot 40 Case,3,500,Eldoret
100251,2025-11-02,Infinix Hot 40 Case,4,200,Mombasa
100252,,iPhone 13 Case,4,1200,Nakuru
100253,2025-08-10,Infinix Hot 40 Case,3,200,Nairobi
100254,2025-04-22,Redmi Note 14 Case,5,1200,Mombasa
100255,2025-03-07,iPhone 13 Case,3,500,Kisumu
100256,2025-04-13,Infinix Hot 40 Case,4,300,Nakuru
100257,2025-10-21,Charger,2,300,Mombasa
100258,2025-12-04,Infinix Hot 40 Case,3,500,Nakuru
100259,2025-11-04,Screen Protector,1,2500,Mombasa
100260,2025-12-01,Samsung A35 Case,4,2500,Eldoret
100261,2025-09-04,Samsung A16 Case,2,500,Nakuru
100262,2025-03-22,Infinix Hot 40 Case,5,1200,Nakuru
100263,2025-05-18,Power Bank,1,300,Nairobi
100264,2025-09-30,Charger,4,800,Nairobi
100265,2025-03-10,Infinix Hot 40 Case,2,2500,Nakuru
100266,2025-02-22,Redmi Note 14 Case,2,1200,Eldoret
100267,2025-05-06,Samsung A16 Case,3,500,Kisumu
100268,2025-08-28,Screen Protector,3,500,Nakuru
100269,2025-04-21,Charger,1,500,Mombasa
100270,2025-01-08,Redmi Note 14 Case,4,800,Eldoret
100271,2025-07-03,Samsung A16 Case,1,500,Eldoret
100272,2025-12-18,Tecno Spark 20 Case,3,500,Nairobi
100273,2025-04-03,Samsung A35 Case,two,1200,Mombasa
100274,2025-05-02,Redmi Note 14 Case,3,500,Nakuru
100275,2025-10-04,Samsung A35 Case,5,300,Mombasa
100276,2025-04-02,Redmi Note 14 Case,2,1200,Nakuru
100277,2025-01-22,Infinix Hot 40 Case,5,2500,Kisumu
100278,2025-01-01,Power Bank,5,200,Nairobi
100279,2025-01-12,Tecno Spark 20 Case,2,2500,Eldoret
100280,2025-02-03,Charger,1,2500,Kisumu
100281,2025-08-06,Tecno Spark 20 Case,5,500,Nairobi
100282,2025-03-14,Charger,2,200,Nairobi
100283,2025-02-16,iPhone 13 Case,1,2500,Nairobi
100284,2025-08-27,Samsung A16 Case,3,1200,Nairobi
100285,2025-12-03,Earbuds,2,800,Eldoret
100286,2025-09-14,Samsung A35 Case,1,500,Mombasa
100287,2025-09-10,Earbuds,4,2500,Eldoret
100288,2025-01-14,Earbuds,2,800,Nairobi
100289,2025-03-19,Power Bank,2,1200,Nairobi
100290,2025-06-03,Charger,3,500,Mombasa
100291,2025-01-07,Tecno Spark 20 Case,3,2500,Mombasa
100292,2025-12-29,,4,1200,Nakuru
100293,2025-10-01,Redmi Note 14 Case,2,2500,Mombasa
100294,2025-08-15,Redmi Note 14 Case,3,200,Nakuru
100295,2025-04-29,Tecno Spark 20 Case,5,800,Eldoret
100296,2025-07-21,Infinix Hot 40 Case,1,200,Kisumu
100297,2025-08-19,iPhone 13 Case,2,2500,Nakuru
100298,2025-10-27,Earbuds,1,200,Nairobi
100299,2025-01-13,Infinix Hot 40 Case,4,200,Nakuru
100300,2025-03-09,,2,500,Nakuru
100301,2025-08-21,Samsung A16 Case,5,300,Mombasa
100302,2025-04-21,Samsung A16 Case,4,2500,Nairobi
100303,2025-02-03,Charger,1,800,Eldoret
100304,2025-03-24,Power Bank,2,200,Nairobi
100305,2025-04-11,Tecno Spark 20 Case,4,300,Nairobi
100306,2025-11-16,tecno spark 20 case,2,500,Mombasa
100307,2025-11-11,Infinix Hot 40 Case,5,2500,Eldoret
100308,2025-08-17,Tecno Spark 20 Case,1,200,Eldoret
100309,2025-05-30,Infinix Hot 40 Case,5,2500,Eldoret
100310,2025-03-11,Redmi Note 14 Case,4,2500,Nairobi
100311,2025-11-27,Tecno Spark 20 Case,1,500,Mombasa
100312,2025-08-31,Tecno Spark 20 Case,5,800,Kisumu
100313,2025-08-11,Tecno Spark 20 Case,2,800,Eldoret
100314,2025-08-08,Charger,3,800,Nakuru
100315,2025-12-01,Screen Protector,1,2500,Kisumu
100316,2025-03-03,Infinix Hot 40 Case,1,300,Nairobi
100317,2025-12-01,Screen Protector,3,300,Nairobi
100318,2025-06-22,Screen Protector,4,1200,Eldoret
100319,2025-11-22,Redmi Note 14 Case,2,2500,Nakuru
100320,2025-11-20,Samsung A35 Case,3,800,Mombasa
100321,2025-08-13,Earbuds,4,200,Kisumu
100322,2025-05-20,Earbuds,two,300,Eldoret
100323,2025-05-22,Tecno Spark 20 Case,5,2500,Nakuru
100324,2025-05-19,Redmi Note 14 Case,4,1200,Kisumu
100325,2025-09-16,Tecno Spark 20 Case,1,2500,Eldoret
100326,2025-06-27,Tecno Spark 20 Case,2,1200,Eldoret
100327,2025-05-18,Charger,4,300,Kisumu
100328,2025-01-13,Infinix Hot 40 Case,2,800,Eldoret
100329,2025-11-17,Tecno Spark 20 Case,5,200,Mombasa
100330,2025-09-30,Redmi Note 14 Case,1,500,Nairobi
100331,2025-02-07,Charger,3,2500,Nakuru
100332,2025-04-05,Samsung A35 Case,1,1200,Kisumu
100333,,Samsung A35 Case,4,800,Nakuru
100334,2025-11-30,Samsung A35 Case,5,500,Nakuru
100335,2025-05-17,Earbuds,2,800,Nakuru
100336,2025-02-04,Earbuds,1,2500,Nairobi
100337,2025-03-01,,5,500,Kisumu
100338,2025-12-27,Samsung A35 Case,5,2500,Nairobi
100339,2025-11-12,Samsung A35 Case,3,1200,Eldoret
100340,2025-06-14,Samsung A35 Case,5,500,Kisumu
100341,2025-03-19,Tecno Spark 20 Case,2,2500,Nakuru
100342,2025-05-12,Redmi Note 14 Case,1,1200,Kisumu
100343,2025-02-11,Tecno Spark 20 Case,1,300,Kisumu
100344,2025-10-23,infinix hot 40 case,3,1200,Kisumu
100345,2025-12-19,,1,200,Nakuru
100346,2025-05-25,Samsung A16 Case,1,300,Mombasa
100347,2025-11-05,Charger,3,500,Eldoret
100348,2025-07-17,Infinix Hot 40 Case,3,500,Eldoret
100349,2025-02-11,Samsung A16 Case,4,1200,Eldoret
100350,2025-10-16,Samsung A35 Case,4,-2500,Mombasa
100351,2025-08-19,Charger,3,-800,Kisumu
100352,2025-06-06,Samsung A16 Case,1,200,Nairobi
100353,2025-10-16,iPhone 13 Case,4,2500,Nakuru
100354,2025-11-18,Redmi Note 14 Case,2,1200,Kisumu
100355,2025-05-03,Infinix Hot 40 Case,2,200,Eldoret
100356,2025-04-28,Screen Protector,5,800,Mombasa
100357,2025-12-31,Power Bank,4,1200,Nairobi
100358,2025-05-16,Samsung A35 Case,5,1200,Nairobi
100359,2025-02-16,Tecno Spark 20 Case,4,800,Nairobi
100360,2025-06-22,Infinix Hot 40 Case,2,500,Eldoret
100361,2025-04-05,Infinix Hot 40 Case,3,500,Nairobi
100362,2025-10-19,tecno spark 20 case,2,500,Nairobi
100363,2025-10-10,Samsung A16 Case,5,800,Mombasa
100364,2025-01-11,Infinix Hot 40 Case,2,2500,Kisumu
100365,2025-05-14,Earbuds,2,2500,Eldoret
100366,2025-12-29,Infinix Hot 40 Case,4,300,Nairobi
100367,2025-05-21,Power Bank,2,200,Mombasa
100368,2025-04-21,iPhone 13 Case,4,500,Mombasa
100369,2025-12-22,Earbuds,4,1200,Nakuru
100370,2025-10-20,iPhone 13 Case,2,200,Kisumu
100371,2025-04-02,Infinix Hot 40 Case,2,200,Eldoret
100372,2025-02-20,Samsung A35 Case,5,2500,Eldoret
100373,2025-10-23,Samsung A16 Case,1,2500,Nakuru
100374,2025-09-24,Infinix Hot 40 Case,two,2500,Nairobi
100375,2025-04-11,Tecno Spark 20 Case,5,300,Eldoret
100376,2025-04-20,Earbuds,4,2500,Kisumu
100377,2025-11-09,Redmi Note 14 Case,1,2500,Mombasa
100378,2025-02-24,Charger,3,1200,Nairobi
100379,2025-11-05,Redmi Note 14 Case,1,300,Kisumu
100380,2025-11-09,Infinix Hot 40 Case,5,300,Mombasa
100381,2025-10-18,Samsung A35 Case,4,200,Mombasa
100382,2025-03-31,,3,2500,Kisumu
100383,2025-07-29,Power Bank,3,300,Nakuru
100384,2025-12-13,Earbuds,1,500,Mombasa
100385,2025-12-30,Screen Protector,3,500,Kisumu
100386,2025-07-01,Samsung A16 Case,1,800,Kisumu
100387,2025-07-17,Redmi Note 14 Case,5,200,Nakuru
